part,geo_curved_area_frac,geo_cyl_area_frac,geo_plane_area_frac,geo_other_area_frac,geo_min_curv_radius_rel,geo_log_curv_radius_mean,geo_log_curv_radius_std,geo_n_faces,geo_n_edges,geo_face_area_cv,geo_aspect_max,geo_aspect_mid,geo_volume_frac,geo_area_over_v23,geo_min_face_size_rel,geo_n_inner_loops,geo_hole_spacing_min_rel,geo_hole_spacing_p10_rel,geo_feat_pair_dist_min_rel,geo_feat_pair_dist_p10_rel,geo_feat_pair_dist_mean_rel,geo_dihedral_p10,geo_dihedral_p50,geo_dihedral_p90,geo_singular_lambda_min
plate_notch_s3,0.01755019471886017,0.01755019471886017,0.9824498052811398,0.0,0.04942501517629484,-1.3060531886611266,2.220446049250313e-16,10.0,48.0,1.6045167593049812,16.4398549900338,8.56714228964982,0.9812095055560041,12.289728345419421,0.09145284975203188,2.0,0.4614632296147155,0.4614632296147155,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
ribbed_plate_s0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,48.0,1.3743344074662893,6.801005363972004,2.7939942440612944,0.3767853145549338,13.886202869900462,0.06421573909309913,0.0,1.0,1.0,0.1038660478858132,0.1038660478858132,0.1038660478858132,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
ribbed_plate_s1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,21.0,96.0,1.6580202711332237,8.635844568080257,3.6336725409271824,0.4968979406723077,15.750054144405423,0.05101341176648384,0.0,1.0,1.0,0.06017985757632042,0.06017985757632042,0.11218712495840932,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
ribbed_plate_s2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16.0,72.0,1.4513379734633505,7.724622741399975,2.811975453814047,0.43554465314528096,15.001967478887389,0.05816637889737374,0.0,1.0,1.0,0.10981116449547763,0.10981116449547763,0.11093673733414453,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
ribbed_plate_s3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,48.0,1.4006221880858536,8.895109509310387,3.0306177342883314,0.4036366413363621,14.547917894806453,0.056735924248524125,0.0,1.0,1.0,0.08243571295723968,0.08243571295723968,0.08243571295723968,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
sphere_box_s0,0.10047056629479185,0.0,0.8995294337052082,0.10047056629479185,0.14978079232494654,-0.8245438763704142,0.0,8.0,34.0,0.5107847459086902,2.248755707018537,1.0,0.8817178076053245,6.273156259047075,0.2654795421480396,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.5444837367824544
sphere_box_s1,0.08631728846432156,0.0,0.9136827115356784,0.08631728846432156,0.14206878005623458,-0.8475013488069838,0.0,8.0,34.0,0.5054336011971181,2.0787245818856324,1.0,0.8740784144737659,6.236968182120693,0.25181035630412996,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.5444837367824544
sphere_box_s2,0.08711384721806224,0.0,0.9128861527819379,0.08711384721806224,0.1399794014646963,-0.8539358678102831,0.0,8.0,34.0,0.52585467735545,2.2364444882457453,1.0,0.8819664265513065,6.291439013997581,0.24810702917355837,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.5444837367824544
sphere_box_s3,0.07889593613449919,0.0,0.9211040638655008,0.07889593613449919,0.12521065748691357,-0.9023587039469014,0.0,8.0,34.0,0.5944561299079276,2.74435804600717,1.0,0.9032237995088216,6.497481213273198,0.22193011203709886,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.5444837367824544
stepped_shaft_s0,0.935632867402526,0.935632867402526,0.06436713259747412,0.0,0.0349341243584418,-1.329667454283717,0.09776451349252085,5.0,12.0,1.1577170787833584,8.87083620075012,1.0,0.5543488757722975,8.438492643408981,0.06191912324713236,0.0,1.0,1.0,0.4793734277170336,0.4793734277170336,0.6584957797583223,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
